Address,BlockNumber,StreetName,Lon,Lat
1100 EMMETT ST N Charlottesville VA,1100,EMMETT ST N,-78.500306,38.0515337
1000 MONTICELLO RD Charlottesville VA,1000,MONTICELLO RD,-78.47370709321828,38.023309728148746
800 MELBOURNE RD Charlottesville VA,800,MELBOURNE RD,-78.47039099999999,38.0480519
1200 JOHN ST Charlottesville VA,1200,JOHN ST,-78.49610951383842,38.03636993131665
2500 JEFFERSON PARK AVENUE Charlottesville VA,2500,JEFFERSON PARK AVENUE,-78.5144704,38.0203443
800 5TH ST SW Charlottesville VA,800,5TH ST SW,-78.49265732028476,38.02292585385296
700 MADISON AVE Charlottesville VA,700,MADISON AVE,-78.49538503324683,38.04098425818786
800 RUN ST Charlottesville VA,800,RUN ST,-78.4935923,38.0343759
700 WALKER SQUARE Charlottesville VA,700,WALKER SQUARE,-78.49141565045959,38.03038316482521
1600 UNIVERSITY AVE Charlottesville VA,1600,UNIVERSITY AVE,-78.50004834022235,38.03466835675097
900 MONTROSE AVE Charlottesville VA,900,MONTROSE AVE,-78.47805836823551,38.02068674706196
1100 EMMET ST Charlottesville VA,1100,EMMET ST,-78.50060431910207,38.05124635691317
1100 ST CLAIR AVE Charlottesville VA,1100,ST CLAIR AVE,-78.4590705,38.0415747
700 ORANGE DALE AVE Charlottesville VA,700,ORANGE DALE AVE,-78.4954169,38.0246036
1000 E MARKET ST Charlottesville VA,1000,E MARKET ST,-78.47343298640598,38.028839373736474
2400 KERRY LN Charlottesville VA,2400,KERRY LN,-78.472706,38.063992
400 5TH ST SW Charlottesville VA,400,5TH ST SW,-78.48934035194037,38.02795068024403
2000 COMMONWEALTH DR Charlottesville VA,2000,COMMONWEALTH DR,-78.492981,38.0697342
200 W WATER ST Charlottesville VA,200,W WATER ST,-78.4806112461397,38.02954589204673
1400 UNIVERSITY AVE Charlottesville VA,1400,UNIVERSITY AVE,-78.49961375470303,38.034437592722696
900 W MAIN ST Charlottesville VA,900,W MAIN ST,-78.49484280984207,38.033076190520376
2400 FONTAINE AVE Charlottesville VA,2400,FONTAINE AVE,-78.51902356886777,38.02618855752181
800 MONTROSE AVE Charlottesville VA,800,MONTROSE AVE,-78.47903049100381,38.02097445945074
1400 FORREST RIDGE RD Charlottesville VA,1400,FORREST RIDGE RD,-78.49780779999999,38.0253195
1700 JEFFERSON PARK AVE Charlottesville VA,1700,JEFFERSON PARK AVE,-78.50860920971418,38.03085064708618
1800 E MARKET ST Charlottesville VA,1800,E MARKET ST,-78.45782559999999,38.0224815
500 VALLEY RD EXT Charlottesville VA,500,VALLEY RD EXT,-78.50360533270478,38.025363948480965
700 HINTON AVE Charlottesville VA,700,HINTON AVE,-78.47843655891393,38.02573246895231
800 ROSEHILL DR Charlottesville VA,800,ROSEHILL DR,-78.48664149999999,38.038316
600 MONTICELLO AVE Charlottesville VA,600,MONTICELLO AVE,-78.48063581724995,38.02552867545321
800 VILLAGE RD Charlottesville VA,800,VILLAGE RD,-78.50186037855005,38.01852672471116
